"","Section","Category","Example","job","jobcode"
"25","Technology","Office suite software","Microsoft Office","Biostatisticians","15-2041.01"
"26","Technology","Operating system software","Linux","Biostatisticians","15-2041.01"
"27","Technology","Operating system software","Microsoft Windows","Biostatisticians","15-2041.01"
"28","Technology","Operating system software","UNIX","Biostatisticians","15-2041.01"
"29","Technology","Presentation software","Microsoft PowerPoint","Biostatisticians","15-2041.01"
"30","Technology","Spreadsheet software","Microsoft Excel","Biostatisticians","15-2041.01"
"31","Technology","Web platform development software","PHP: Hypertext Preprocessor","Biostatisticians","15-2041.01"
"32","Technology","Word processing software","Microsoft Word","Biostatisticians","15-2041.01"
"33","Technology","Analytical or scientific software","IBM SPSS Statistics","Acturies","15-2011.00"
"34","Technology","Analytical or scientific software","Insightful S-PLUS","Acturies","15-2011.00"
"35","Technology","Analytical or scientific software","SAS","Acturies","15-2011.00"
"36","Technology","Analytical or scientific software","Statistical software","Acturies","15-2011.00"
"37","Technology","Analytical or scientific software","Wolfram Research Mathematica","Acturies","15-2011.00"
"38","Technology","Compliance software","Compliance testing software","Acturies","15-2011.00"
"39","Technology","Data base user interface and query software","Data entry software","Acturies","15-2011.00"
"40","Technology","Data base user interface and query software","dBASE Plus","Acturies","15-2011.00"
"41","Technology","Data base user interface and query software","Microsoft Access","Acturies","15-2011.00"
"42","Technology","Data base user interface and query software","SAP BusinessObjects Desktop Intelligence","Acturies","15-2011.00"
"43","Technology","Data base user interface and query software","Structured query language SQL","Acturies","15-2011.00"
"44","Technology","Development environment software","Microsoft Visual Basic","Acturies","15-2011.00"
"45","Technology","Electronic mail software","IBM Lotus Notes","Acturies","15-2011.00"
"46","Technology","Financial analysis software","Appraisal software","Acturies","15-2011.00"
"47","Technology","Financial analysis software","ARMON Technologies XLActuary","Acturies","15-2011.00"
"48","Technology","Financial analysis software","Cash flow software","Acturies","15-2011.00"
"49","Technology","Financial analysis software","GGY AXIS","Acturies","15-2011.00"
"50","Technology","Financial analysis software","Insureware ICRFS-ELRF","Acturies","15-2011.00"
"51","Technology","Financial analysis software","Lewis & Ellis LEAPPS","Acturies","15-2011.00"
"52","Technology","Financial analysis software","Milliman Corporate Affinity","Acturies","15-2011.00"
"53","Technology","Financial analysis software","Milliman ReservePro","Acturies","15-2011.00"
"54","Technology","Financial analysis software","Oak Mountain Software AnnuityValue","Acturies","15-2011.00"
"55","Technology","Financial analysis software","PolySystems Asset Delphi","Acturies","15-2011.00"
"56","Technology","Financial analysis software","Pricing software","Acturies","15-2011.00"
"57","Technology","Financial analysis software","SS&C PTS","Acturies","15-2011.00"
"58","Technology","Graphics or photo imaging software","Microsoft Visio","Acturies","15-2011.00"
"59","Technology","Object or component oriented development software","C++","Acturies","15-2011.00"
"60","Technology","Object or component oriented development software","R","Acturies","15-2011.00"
"61","Technology","Object oriented data base management software","Microsoft Visual FoxPro","Acturies","15-2011.00"
"62","Technology","Office suite software","Microsoft Office","Acturies","15-2011.00"
"63","Technology","Presentation software","Microsoft PowerPoint","Acturies","15-2011.00"
"64","Technology","Spreadsheet software","Microsoft Excel","Acturies","15-2011.00"
"65","Technology","Word processing software","Microsoft Word","Acturies","15-2011.00"
"66","Technology","Analytical or scientific software","Advanced numerical software","Computer and Information Research Scientists","15-1111.00"
"67","Technology","Analytical or scientific software","Algorithmic software","Computer and Information Research Scientists","15-1111.00"
"68","Technology","Analytical or scientific software","Augmint","Computer and Information Research Scientists","15-1111.00"
"69","Technology","Analytical or scientific software","Computational statistics software","Computer and Information Research Scientists","15-1111.00"
"70","Technology","Analytical or scientific software","Data visualization software","Computer and Information Research Scientists","15-1111.00"
"71","Technology","Analytical or scientific software","IBM SPSS Statistics","Computer and Information Research Scientists","15-1111.00"
"72","Technology","Analytical or scientific software","Intel Math Kernel Library","Computer and Information Research Scientists","15-1111.00"
"73","Technology","Analytical or scientific software","Mathematical software","Computer and Information Research Scientists","15-1111.00"
"74","Technology","Analytical or scientific software","Minitab","Computer and Information Research Scientists","15-1111.00"
"75","Technology","Analytical or scientific software","Multisensory data representation software","Computer and Information Research Scientists","15-1111.00"
"76","Technology","Analytical or scientific software","Optimization software","Computer and Information Research Scientists","15-1111.00"
"77","Technology","Analytical or scientific software","Polhemus Fasttrack System","Computer and Information Research Scientists","15-1111.00"
"78","Technology","Analytical or scientific software","Rice Simulator for ILP Multiprocessors RSIM","Computer and Information Research Scientists","15-1111.00"
"79","Technology","Analytical or scientific software","SAS","Computer and Information Research Scientists","15-1111.00"
"80","Technology","Analytical or scientific software","Simulation software","Computer and Information Research Scientists","15-1111.00"
"81","Technology","Analytical or scientific software","StataCorp Stata","Computer and Information Research Scientists","15-1111.00"
"82","Technology","Analytical or scientific software","The MathWorks MATLAB","Computer and Information Research Scientists","15-1111.00"
"83","Technology","Business intelligence and data analysis software","IBM Cognos Impromptu","Computer and Information Research Scientists","15-1111.00"
"84","Technology","Business intelligence and data analysis software","MicroStrategy","Computer and Information Research Scientists","15-1111.00"
"85","Technology","Business intelligence and data analysis software","Oracle Business Intelligence Enterprise Edition","Computer and Information Research Scientists","15-1111.00"
"86","Technology","Business intelligence and data analysis software","Qlik Tech QlikView","Computer and Information Research Scientists","15-1111.00"
"87","Technology","Business intelligence and data analysis software","Tableau","Computer and Information Research Scientists","15-1111.00"
"88","Technology","Clustering software","Clustermatic","Computer and Information Research Scientists","15-1111.00"
"89","Technology","Clustering software","Parallel systems software","Computer and Information Research Scientists","15-1111.00"
"90","Technology","Communications server software","IBM Domino","Computer and Information Research Scientists","15-1111.00"
"91","Technology","Compiler and decompiler software","Greenhills Ada compilers","Computer and Information Research Scientists","15-1111.00"
"92","Technology","Compiler and decompiler software","Low-level virtual machine LLVM compilers","Computer and Information Research Scientists","15-1111.00"
"93","Technology","Compiler and decompiler software","Polaris parallelizing compilers","Computer and Information Research Scientists","15-1111.00"
"94","Technology","Computer aided design CAD software","Computer aided design and drafting CADD software","Computer and Information Research Scientists","15-1111.00"
"95","Technology","Computer aided design CAD software","PTC Creo Parametric","Computer and Information Research Scientists","15-1111.00"
"96","Technology","Configuration management software","IBM Rational Apex","Computer and Information Research Scientists","15-1111.00"
"97","Technology","Configuration management software","Perforce Software Configuration Management System","Computer and Information Research Scientists","15-1111.00"
"98","Technology","Data base management system software","Apache Cassandra","Computer and Information Research Scientists","15-1111.00"
"99","Technology","Data base management system software","Apache Flume","Computer and Information Research Scientists","15-1111.00"
"100","Technology","Data base management system software","Apache Hadoop","Computer and Information Research Scientists","15-1111.00"
"101","Technology","Data base management system software","Apache Pig","Computer and Information Research Scientists","15-1111.00"
"102","Technology","Data base management system software","Apache Solr","Computer and Information Research Scientists","15-1111.00"
"103","Technology","Data base management system software","MongoDB","Computer and Information Research Scientists","15-1111.00"
"104","Technology","Data base management system software","MySQL","Computer and Information Research Scientists","15-1111.00"
"105","Technology","Data base management system software","NoSQL","Computer and Information Research Scientists","15-1111.00"
"106","Technology","Data base management system software","Oracle DBMS","Computer and Information Research Scientists","15-1111.00"
"107","Technology","Data base management system software","Relational database management software","Computer and Information Research Scientists","15-1111.00"
"108","Technology","Data base management system software","Relational database management system software","Computer and Information Research Scientists","15-1111.00"
"109","Technology","Data base management system software","Teradata Database","Computer and Information Research Scientists","15-1111.00"
"110","Technology","Data base user interface and query software","Apache Hive","Computer and Information Research Scientists","15-1111.00"
"111","Technology","Data base user interface and query software","Microsoft SQL Server","Computer and Information Research Scientists","15-1111.00"
"112","Technology","Data base user interface and query software","Structured query language SQL","Computer and Information Research Scientists","15-1111.00"
"113","Technology","Data mining software","","Computer and Information Research Scientists","15-1111.00"
"114","Technology","Development environment software","Ada","Computer and Information Research Scientists","15-1111.00"
"115","Technology","Development environment software","Automated document generation software","Computer and Information Research Scientists","15-1111.00"
"116","Technology","Development environment software","C","Computer and Information Research Scientists","15-1111.00"
"117","Technology","Development environment software","CMAKE","Computer and Information Research Scientists","15-1111.00"
"118","Technology","Development environment software","Doxygen","Computer and Information Research Scientists","15-1111.00"
"119","Technology","Development environment software","Eclipse IDE","Computer and Information Research Scientists","15-1111.00"
"120","Technology","Development environment software","Embarcadero JBuilder","Computer and Information Research Scientists","15-1111.00"
"121","Technology","Development environment software","Formula translation/translator FORTRAN","Computer and Information Research Scientists","15-1111.00"
"122","Technology","Development environment software","High-performance software libraries","Computer and Information Research Scientists","15-1111.00"
"123","Technology","Development environment software","IBM Rational Rose","Computer and Information Research Scientists","15-1111.00"
"124","Technology","Development environment software","Integrated development environment IDE software","Computer and Information Research Scientists","15-1111.00"
"125","Technology","Development environment software","Intel Integrated Performance Primitives","Computer and Information Research Scientists","15-1111.00"
"126","Technology","Development environment software","List processing language LISP","Computer and Information Research Scientists","15-1111.00"
"127","Technology","Development environment software","Microsoft Visual Basic","Computer and Information Research Scientists","15-1111.00"
"128","Technology","Development environment software","Microsoft Visual Studio","Computer and Information Research Scientists","15-1111.00"
"129","Technology","Development environment software","Microsoft Visual Studio.NET","Computer and Information Research Scientists","15-1111.00"
"130","Technology","Development environment software","National Instruments LabVIEW","Computer and Information Research Scientists","15-1111.00"
"131","Technology","Development environment software","Prolog","Computer and Information Research Scientists","15-1111.00"
"132","Technology","Development environment software","Ruby","Computer and Information Research Scientists","15-1111.00"
"133","Technology","Development environment software","Software libraries","Computer and Information Research Scientists","15-1111.00"
"134","Technology","Development environment software","Source code management SCM software","Computer and Information Research Scientists","15-1111.00"
"135","Technology","Development environment software","Sun Microsystems Java 2 Platform Enterprise Edition J2EE","Computer and Information Research Scientists","15-1111.00"
"136","Technology","Development environment software","Verilog","Computer and Information Research Scientists","15-1111.00"
"137","Technology","Enterprise application integration software","Extensible markup language XML","Computer and Information Research Scientists","15-1111.00"
"138","Technology","Enterprise application integration software","IBM InfoSphere DataStage","Computer and Information Research Scientists","15-1111.00"
"139","Technology","Enterprise resource planning ERP software","SAP Business Objects","Computer and Information Research Scientists","15-1111.00"
"140","Technology","Enterprise system management software","Splunk Enterprise","Computer and Information Research Scientists","15-1111.00"
"141","Technology","File versioning software","Git","Computer and Information Research Scientists","15-1111.00"
"142","Technology","Graphical user interface development software","Waikato Environment for Knowledge Analysis Weka","Computer and Information Research Scientists","15-1111.00"
"143","Technology","Graphics or photo imaging software","Graphics pipelines","Computer and Information Research Scientists","15-1111.00"
"144","Technology","Graphics or photo imaging software","Open Graphics Library OpenGL","Computer and Information Research Scientists","15-1111.00"
"145","Technology","Graphics or photo imaging software","Three-dimensional 3D graphics software","Computer and Information Research Scientists","15-1111.00"
"146","Technology","Map creation software","ESRI ArcGIS software","Computer and Information Research Scientists","15-1111.00"
"147","Technology","Metadata management software","CA Erwin Data Modeler","Computer and Information Research Scientists","15-1111.00"
"148","Technology","Object or component oriented development software","C#","Computer and Information Research Scientists","15-1111.00"
"149","Technology","Object or component oriented development software","C++","Computer and Information Research Scientists","15-1111.00"
"150","Technology","Object or component oriented development software","Charm++","Computer and Information Research Scientists","15-1111.00"
"151","Technology","Object or component oriented development software","Eiffel","Computer and Information Research Scientists","15-1111.00"
"152","Technology","Object or component oriented development software","Microsoft ActiveX","Computer and Information Research Scientists","15-1111.00"
"153","Technology","Object or component oriented development software","Microsoft Visual Basic.NET","Computer and Information Research Scientists","15-1111.00"
"154","Technology","Object or component oriented development software","Microsoft Visual C# .NET","Computer and Information Research Scientists","15-1111.00"
"155","Technology","Object or component oriented development software","Object oriented development environment software","Computer and Information Research Scientists","15-1111.00"
"156","Technology","Object or component oriented development software","Oracle Java","Computer and Information Research Scientists","15-1111.00"
"157","Technology","Object or component oriented development software","Practical extraction and reporting language Perl","Computer and Information Research Scientists","15-1111.00"
"158","Technology","Object or component oriented development software","Python","Computer and Information Research Scientists","15-1111.00"
"159","Technology","Object or component oriented development software","R","Computer and Information Research Scientists","15-1111.00"
"160","Technology","Object oriented data base management software","PostgreSQL","Computer and Information Research Scientists","15-1111.00"
"161","Technology","Office suite software","Microsoft Office","Computer and Information Research Scientists","15-1111.00"
"162","Technology","Operating system software","Bash","Computer and Information Research Scientists","15-1111.00"
"163","Technology","Operating system software","Linux","Computer and Information Research Scientists","15-1111.00"
"164","Technology","Operating system software","Microsoft Windows XP","Computer and Information Research Scientists","15-1111.00"
"165","Technology","Operating system software","Oracle Solaris","Computer and Information Research Scientists","15-1111.00"
"166","Technology","Operating system software","Sun Microsystems Solaris","Computer and Information Research Scientists","15-1111.00"
"167","Technology","Operating system software","Ubuntu","Computer and Information Research Scientists","15-1111.00"
"168","Technology","Operating system software","UNIX","Computer and Information Research Scientists","15-1111.00"
"169","Technology","Operating system software","VME PowerPC VxWorks","Computer and Information Research Scientists","15-1111.00"
"170","Technology","Portal server software","Apache HTTP Server","Computer and Information Research Scientists","15-1111.00"
"171","Technology","Presentation software","Microsoft PowerPoint","Computer and Information Research Scientists","15-1111.00"
"172","Technology","Requirements analysis and system architecture software","Unified modeling language UML","Computer and Information Research Scientists","15-1111.00"
"173","Technology","Spreadsheet software","Microsoft Excel","Computer and Information Research Scientists","15-1111.00"
"174","Technology","Video creation and editing software","Video editing software","Computer and Information Research Scientists","15-1111.00"
"175","Technology","Web page creation and editing software","Plug-in file software","Computer and Information Research Scientists","15-1111.00"
"176","Technology","Web platform development software","Django","Computer and Information Research Scientists","15-1111.00"
"177","Technology","Web platform development software","Extensible stylesheet language transformations XSLT","Computer and Information Research Scientists","15-1111.00"
"178","Technology","Web platform development software","JavaScript","Computer and Information Research Scientists","15-1111.00"
"179","Technology","Web platform development software","PHP: Hypertext Preprocessor","Computer and Information Research Scientists","15-1111.00"
"180","Technology","Access software","Access management software","Data Administrator","15-1141.00"
"181","Technology","Access software","Citrix","Data Administrator","15-1141.00"
"182","Technology","Accounting software","Fund accounting software","Data Administrator","15-1141.00"
"183","Technology","Administration software","Redgate SQL Server","Data Administrator","15-1141.00"
"184","Technology","Administration software","SolarWinds","Data Administrator","15-1141.00"
"185","Technology","Analytical or scientific software","IBM SPSS Statistics","Data Administrator","15-1141.00"
"186","Technology","Analytical or scientific software","Minitab","Data Administrator","15-1141.00"
"187","Technology","Analytical or scientific software","Safe Software FME","Data Administrator","15-1141.00"
"188","Technology","Analytical or scientific software","SAS","Data Administrator","15-1141.00"
"189","Technology","Analytical or scientific software","StataCorp Stata","Data Administrator","15-1141.00"
"190","Technology","Analytical or scientific software","Test data generator software","Data Administrator","15-1141.00"
"191","Technology","Analytical or scientific software","The MathWorks MATLAB","Data Administrator","15-1141.00"
"192","Technology","Application server software","Oracle WebLogic Server","Data Administrator","15-1141.00"
"193","Technology","Application server software","Red Hat WildFly","Data Administrator","15-1141.00"
"194","Technology","Backup or archival software","Acronis Recovery Expert","Data Administrator","15-1141.00"
"195","Technology","Backup or archival software","BMC Software Recovery Manager RMAN","Data Administrator","15-1141.00"
"196","Technology","Backup or archival software","Database cloning software","Data Administrator","15-1141.00"
"197","Technology","Backup or archival software","EMC NetWorker","Data Administrator","15-1141.00"
"198","Technology","Backup or archival software","HP DataProtector","Data Administrator","15-1141.00"
"199","Technology","Backup or archival software","IBM ADSTAR","Data Administrator","15-1141.00"
"200","Technology","Backup or archival software","Oracle Data Guard","Data Administrator","15-1141.00"
"201","Technology","Backup or archival software","Storage management software","Data Administrator","15-1141.00"
"202","Technology","Backup or archival software","Systems and data disaster recovery software","Data Administrator","15-1141.00"
"203","Technology","Backup or archival software","VERITAS NetBackup","Data Administrator","15-1141.00"
"204","Technology","Business intelligence and data analysis software","IBM Cognos Impromptu","Data Administrator","15-1141.00"
"205","Technology","Business intelligence and data analysis software","Micosoft SQL Server Analysis Services SSAS","Data Administrator","15-1141.00"
"206","Technology","Business intelligence and data analysis software","MicroStrategy","Data Administrator","15-1141.00"
"207","Technology","Business intelligence and data analysis software","Oracle Business Intelligence Enterprise Edition","Data Administrator","15-1141.00"
"208","Technology","Business intelligence and data analysis software","Qlik Tech QlikView","Data Administrator","15-1141.00"
"209","Technology","Business intelligence and data analysis software","Tableau","Data Administrator","15-1141.00"
"210","Technology","Clustering software","Cluster server software","Data Administrator","15-1141.00"
"211","Technology","Clustering software","Oracle Real Application Cluster RAC","Data Administrator","15-1141.00"
"212","Technology","Communications server software","IBM Domino","Data Administrator","15-1141.00"
"213","Technology","Computer aided design CAD software","Dassault Systemes CATIA","Data Administrator","15-1141.00"
"214","Technology","Computer based training software","","Data Administrator","15-1141.00"
"215","Technology","Configuration management software","Chef","Data Administrator","15-1141.00"
"216","Technology","Configuration management software","Deployment software","Data Administrator","15-1141.00"
"217","Technology","Configuration management software","Perforce Helix software","Data Administrator","15-1141.00"
"218","Technology","Configuration management software","Puppet","Data Administrator","15-1141.00"
"219","Technology","Configuration management software","Red Hat Ansible Engine","Data Administrator","15-1141.00"
"220","Technology","Configuration management software","VMWare","Data Administrator","15-1141.00"
"221","Technology","Content workflow software","Atlassian JIRA","Data Administrator","15-1141.00"
"222","Technology","Customer relationship management CRM software","Blackbaud The Raiser's Edge","Data Administrator","15-1141.00"
"223","Technology","Customer relationship management CRM software","Oracle Eloqua","Data Administrator","15-1141.00"
"224","Technology","Customer relationship management CRM software","Salesforce software","Data Administrator","15-1141.00"
"225","Technology","Data base management system software","ADO.NET","Data Administrator","15-1141.00"
"226","Technology","Data base management system software","Amazon DynamoDB","Data Administrator","15-1141.00"
"227","Technology","Data base management system software","Apache Cassandra","Data Administrator","15-1141.00"
"228","Technology","Data base management system software","Apache Hadoop","Data Administrator","15-1141.00"
"229","Technology","Data base management system software","Apache Pig","Data Administrator","15-1141.00"
"230","Technology","Data base management system software","Apache Solr","Data Administrator","15-1141.00"
"231","Technology","Data base management system software","Apache Sqoop","Data Administrator","15-1141.00"
"232","Technology","Data base management system software","BMC Software Change Manager","Data Administrator","15-1141.00"
"233","Technology","Data base management system software","CA IDMS","Data Administrator","15-1141.00"
"234","Technology","Data base management system software","Catalog navigation software","Data Administrator","15-1141.00"
"235","Technology","Data base management system software","Concurrency control software","Data Administrator","15-1141.00"
"236","Technology","Data base management system software","Couchbase Server","Data Administrator","15-1141.00"
"237","Technology","Data base management system software","Data definition language DDL","Data Administrator","15-1141.00"
"238","Technology","Data base management system software","Data manipulation language DML","Data Administrator","15-1141.00"
"239","Technology","Data base management system software","Data transformation services DTS software","Data Administrator","15-1141.00"
"240","Technology","Data base management system software","Database design software","Data Administrator","15-1141.00"
"241","Technology","Data base management system software","Elasticsearch","Data Administrator","15-1141.00"
"242","Technology","Data base management system software","Embarcadero Technologies DBArtisan","Data Administrator","15-1141.00"
"243","Technology","Data base management system software","Greenplum Database","Data Administrator","15-1141.00"
"244","Technology","Data base management system software","IBM Interactive System Productivity Facility ISPF","Data Administrator","15-1141.00"
"245","Technology","Data base management system software","Index tuning software","Data Administrator","15-1141.00"
"246","Technology","Data base management system software","Informatica Big Data","Data Administrator","15-1141.00"
"247","Technology","Data base management system software","MapR Converged Data Platform","Data Administrator","15-1141.00"
"248","Technology","Data base management system software","MariaDB","Data Administrator","15-1141.00"
"249","Technology","Data base management system software","MongoDB","Data Administrator","15-1141.00"
"250","Technology","Data base management system software","NoSQL","Data Administrator","15-1141.00"
"251","Technology","Data base management system software","Oracle Enterprise Manager","Data Administrator","15-1141.00"
"252","Technology","Data base management system software","Oracle Enterprise Manager Cloud Control","Data Administrator","15-1141.00"
"253","Technology","Data base management system software","Oracle Golden Gate","Data Administrator","15-1141.00"
"254","Technology","Data base management system software","Oracle PL/SQL","Data Administrator","15-1141.00"
"255","Technology","Data base management system software","Quest Central","Data Administrator","15-1141.00"
"256","Technology","Data base management system software","Quest SharePlex","Data Administrator","15-1141.00"
"257","Technology","Data base management system software","Relational database management software","Data Administrator","15-1141.00"
"258","Technology","Data base management system software","SAP Adaptive Server Enterprise","Data Administrator","15-1141.00"
"259","Technology","Data base management system software","SAP Replication Server","Data Administrator","15-1141.00"
"260","Technology","Data base management system software","SentryOne SQL Sentry","Data Administrator","15-1141.00"
"261","Technology","Data base management system software","Teradata Database","Data Administrator","15-1141.00"
"262","Technology","Data base reporting software","ASG Technologies ASG-Zeke","Data Administrator","15-1141.00"
"263","Technology","Data base reporting software","Microsoft SQL Server Reporting Services","Data Administrator","15-1141.00"
"264","Technology","Data base reporting software","Oracle Reports","Data Administrator","15-1141.00"
"265","Technology","Data base reporting software","Oracle SQL Loader","Data Administrator","15-1141.00"
"266","Technology","Data base reporting software","Oracle SQL Plus","Data Administrator","15-1141.00"
"267","Technology","Data base reporting software","ReCrystallize Crystal Reports","Data Administrator","15-1141.00"
"268","Technology","Data base reporting software","SAP Crystal Reports","Data Administrator","15-1141.00"
"269","Technology","Data base user interface and query software","Apache Hive","Data Administrator","15-1141.00"
"270","Technology","Data base user interface and query software","Blackboard","Data Administrator","15-1141.00"
"271","Technology","Data base user interface and query software","Data entry software","Data Administrator","15-1141.00"
"272","Technology","Data base user interface and query software","FileMaker Pro","Data Administrator","15-1141.00"
"273","Technology","Data base user interface and query software","IBM DB2","Data Administrator","15-1141.00"
"274","Technology","Data base user interface and query software","Microsoft Access","Data Administrator","15-1141.00"
"275","Technology","Data base user interface and query software","Microsoft SQL Server","Data Administrator","15-1141.00"
"276","Technology","Data base user interface and query software","MySQL","Data Administrator","15-1141.00"
"277","Technology","Data base user interface and query software","Oracle JDBC","Data Administrator","15-1141.00"
"278","Technology","Data base user interface and query software","Structured query language SQL","Data Administrator","15-1141.00"
"279","Technology","Data base user interface and query software","Teradata Active Enterprise Data Warehouse","Data Administrator","15-1141.00"
"280","Technology","Data mining software","Google Analytics","Data Administrator","15-1141.00"
"281","Technology","Desktop publishing software","Microsoft Publisher","Data Administrator","15-1141.00"
"282","Technology","Development environment software","Apache Maven","Data Administrator","15-1141.00"
"283","Technology","Development environment software","C","Data Administrator","15-1141.00"
"284","Technology","Development environment software","Common business oriented language COBOL","Data Administrator","15-1141.00"
"285","Technology","Development environment software","Eclipse IDE","Data Administrator","15-1141.00"
"286","Technology","Development environment software","Integrated development environment IDE software","Data Administrator","15-1141.00"
"287","Technology","Development environment software","Microsoft .NET Framework","Data Administrator","15-1141.00"
"288","Technology","Development environment software","Microsoft PowerShell","Data Administrator","15-1141.00"
"289","Technology","Development environment software","Microsoft Visual Basic","Data Administrator","15-1141.00"
"290","Technology","Development environment software","Microsoft Visual Basic Scripting Edition VBScript","Data Administrator","15-1141.00"
"291","Technology","Development environment software","Microsoft Visual Studio","Data Administrator","15-1141.00"
"292","Technology","Development environment software","Prolog","Data Administrator","15-1141.00"
"293","Technology","Development environment software","Restructured extended executor REXX","Data Administrator","15-1141.00"
"294","Technology","Development environment software","Ruby","Data Administrator","15-1141.00"
"295","Technology","Electronic mail software","IBM Notes","Data Administrator","15-1141.00"
"296","Technology","Electronic mail software","Microsoft Exchange Server","Data Administrator","15-1141.00"
"297","Technology","Electronic mail software","Microsoft Outlook","Data Administrator","15-1141.00"
"298","Technology","Enterprise application integration software","BMC Software Control-M","Data Administrator","15-1141.00"
"299","Technology","Enterprise application integration software","Extensible markup language XML","Data Administrator","15-1141.00"
"300","Technology","Enterprise application integration software","IBM InfoSphere DataStage","Data Administrator","15-1141.00"
"301","Technology","Enterprise application integration software","IBM WebSphere","Data Administrator","15-1141.00"
"302","Technology","Enterprise application integration software","Microsoft SQL Server Integration Services SSIS","Data Administrator","15-1141.00"
"303","Technology","Enterprise resource planning ERP software","Ab Initio","Data Administrator","15-1141.00"
"304","Technology","Enterprise resource planning ERP software","Ellucian Banner ERP","Data Administrator","15-1141.00"
"305","Technology","Enterprise resource planning ERP software","Informatica Corporation PowerCenter","Data Administrator","15-1141.00"
"306","Technology","Enterprise resource planning ERP software","Microsoft Dynamics","Data Administrator","15-1141.00"
"307","Technology","Enterprise resource planning ERP software","Microsoft Dynamics GP","Data Administrator","15-1141.00"
"308","Technology","Enterprise resource planning ERP software","NetSuite ERP","Data Administrator","15-1141.00"
"309","Technology","Enterprise resource planning ERP software","Oracle Fusion Applications","Data Administrator","15-1141.00"
"310","Technology","Enterprise resource planning ERP software","Oracle Hyperion","Data Administrator","15-1141.00"
"311","Technology","Enterprise resource planning ERP software","Oracle JD Edwards EnterpriseOne","Data Administrator","15-1141.00"
"312","Technology","Enterprise resource planning ERP software","Oracle PeopleSoft","Data Administrator","15-1141.00"
"313","Technology","Enterprise resource planning ERP software","Oracle PeopleSoft Financials","Data Administrator","15-1141.00"
"314","Technology","Enterprise resource planning ERP software","SAP","Data Administrator","15-1141.00"
"315","Technology","Enterprise resource planning ERP software","SAP Business Objects","Data Administrator","15-1141.00"
"316","Technology","Enterprise system management software","IBM Power Systems software","Data Administrator","15-1141.00"
"317","Technology","Enterprise system management software","Splunk Enterprise","Data Administrator","15-1141.00"
"318","Technology","Expert system software","Apache Mahout","Data Administrator","15-1141.00"
"319","Technology","File versioning software","Apache Subversion SVN","Data Administrator","15-1141.00"
"320","Technology","File versioning software","Git","Data Administrator","15-1141.00"
"321","Technology","Financial analysis software","Delphi Technology","Data Administrator","15-1141.00"
"322","Technology","Financial analysis software","Oracle E-Business Suite Financials","Data Administrator","15-1141.00"
"323","Technology","Graphics or photo imaging software","Adobe Systems Adobe Flash","Data Administrator","15-1141.00"
"324","Technology","Graphics or photo imaging software","Microsoft Visio","Data Administrator","15-1141.00"
"325","Technology","Human resources software","Human resource management software HRMS","Data Administrator","15-1141.00"
"326","Technology","Human resources software","Oracle Learning Management","Data Administrator","15-1141.00"
"327","Technology","Human resources software","Oracle Taleo","Data Administrator","15-1141.00"
"328","Technology","Information retrieval or search software","Data validation software","Data Administrator","15-1141.00"
"329","Technology","Information retrieval or search software","LexisNexis","Data Administrator","15-1141.00"
"330","Technology","Manufacturing execution system MES software","CA Easytrieve Report Generator","Data Administrator","15-1141.00"
"331","Technology","Map creation software","ESRI ArcGIS software","Data Administrator","15-1141.00"
"332","Technology","Medical software","Epic Systems","Data Administrator","15-1141.00"
